H = 	0.458281	 Volume = 	0.485667	 Pressure = 	-2.83834
H = 	0.458125	 Volume = 	0.485667	 Pressure = 	-2.84071
H = 	0.457969	 Volume = 	0.485667	 Pressure = 	-2.84309
H = 	0.457812	 Volume = 	0.485667	 Pressure = 	-2.84546
H = 	0.457656	 Volume = 	0.485667	 Pressure = 	-2.84784
H = 	0.4575	 Volume = 	0.485667	 Pressure = 	-2.85022
H = 	0.457344	 Volume = 	0.485667	 Pressure = 	-2.85259
H = 	0.457187	 Volume = 	0.485667	 Pressure = 	-2.85497
H = 	0.457031	 Volume = 	0.485667	 Pressure = 	-2.85735
H = 	0.456875	 Volume = 	0.485667	 Pressure = 	-2.85973
H = 	0.456719	 Volume = 	0.485667	 Pressure = 	-2.86212
H = 	0.456562	 Volume = 	0.485667	 Pressure = 	-2.8645
H = 	0.456406	 Volume = 	0.485667	 Pressure = 	-2.86689
H = 	0.45625	 Volume = 	0.485667	 Pressure = 	-2.86927
H = 	0.456094	 Volume = 	0.485667	 Pressure = 	-2.87166
H = 	0.455937	 Volume = 	0.485667	 Pressure = 	-2.87405
H = 	0.455781	 Volume = 	0.485667	 Pressure = 	-2.87644
H = 	0.455625	 Volume = 	0.485667	 Pressure = 	-2.87883
H = 	0.455469	 Volume = 	0.485667	 Pressure = 	-2.88122
H = 	0.455312	 Volume = 	0.485667	 Pressure = 	-2.88361
H = 	0.455156	 Volume = 	0.485667	 Pressure = 	-2.88601
H = 	0.455	 Volume = 	0.485667	 Pressure = 	-2.8884
H = 	0.454922	 Volume = 	0.485667	 Pressure = 	-2.8896
H = 	0.454844	 Volume = 	0.485667	 Pressure = 	-2.8908
H = 	0.454766	 Volume = 	0.485667	 Pressure = 	-2.892
H = 	0.454687	 Volume = 	0.485667	 Pressure = 	-2.8932
H = 	0.454648	 Volume = 	0.485667	 Pressure = 	-2.89379
H = 	0.454609	 Volume = 	0.485667	 Pressure = 	-2.89439
H = 	0.45457	 Volume = 	0.485667	 Pressure = 	-2.89499
H = 	0.454531	 Volume = 	0.485667	 Pressure = 	-2.89559
H = 	0.454512	 Volume = 	0.485667	 Pressure = 	-2.89589
H = 	0.454492	 Volume = 	0.485667	 Pressure = 	-2.89619
H = 	0.454473	 Volume = 	0.485667	 Pressure = 	-2.89649
H = 	0.454453	 Volume = 	0.485667	 Pressure = 	-2.89679
H = 	0.454434	 Volume = 	0.485667	 Pressure = 	-2.89709
