H = 	0.39416	 Volume = 	0.243	 Pressure = 	-2.83912	 Normal Contact Force = 	-3.40323
H = 	0.394141	 Volume = 	0.243	 Pressure = 	-2.83957	 Normal Contact Force = 	-3.40446
H = 	0.394121	 Volume = 	0.243	 Pressure = 	-2.84002	 Normal Contact Force = 	-3.40568
H = 	0.394102	 Volume = 	0.243	 Pressure = 	-2.84047	 Normal Contact Force = 	-3.40691
H = 	0.394082	 Volume = 	0.243	 Pressure = 	-2.84093	 Normal Contact Force = 	-3.40814
H = 	0.394063	 Volume = 	0.243	 Pressure = 	-2.84138	 Normal Contact Force = 	-3.40936
H = 	0.394043	 Volume = 	0.243	 Pressure = 	-2.84183	 Normal Contact Force = 	-3.41059
H = 	0.394023	 Volume = 	0.243	 Pressure = 	-2.84228	 Normal Contact Force = 	-3.41182
H = 	0.394004	 Volume = 	0.243	 Pressure = 	-2.84274	 Normal Contact Force = 	-3.41305
H = 	0.393984	 Volume = 	0.243	 Pressure = 	-2.84319	 Normal Contact Force = 	-3.41427
H = 	0.393965	 Volume = 	0.243	 Pressure = 	-2.84364	 Normal Contact Force = 	-3.4155
H = 	0.393945	 Volume = 	0.243	 Pressure = 	-2.8441	 Normal Contact Force = 	-3.41673
H = 	0.393926	 Volume = 	0.243	 Pressure = 	-2.84455	 Normal Contact Force = 	-3.41796
H = 	0.393906	 Volume = 	0.243	 Pressure = 	-2.845	 Normal Contact Force = 	-3.41919
H = 	0.393887	 Volume = 	0.243	 Pressure = 	-2.84545	 Normal Contact Force = 	-3.42042
H = 	0.393867	 Volume = 	0.243	 Pressure = 	-2.84591	 Normal Contact Force = 	-3.42165
H = 	0.393848	 Volume = 	0.243	 Pressure = 	-2.84636	 Normal Contact Force = 	-3.42288
H = 	0.393828	 Volume = 	0.243	 Pressure = 	-2.84681	 Normal Contact Force = 	-3.42411
H = 	0.393809	 Volume = 	0.243	 Pressure = 	-2.84727	 Normal Contact Force = 	-3.42534
H = 	0.393789	 Volume = 	0.243	 Pressure = 	-2.84772	 Normal Contact Force = 	-3.42658
H = 	0.39377	 Volume = 	0.243	 Pressure = 	-2.84817	 Normal Contact Force = 	-3.42781
H = 	0.39375	 Volume = 	0.243	 Pressure = 	-2.84862	 Normal Contact Force = 	-3.42904
H = 	0.39373	 Volume = 	0.243	 Pressure = 	-2.84908	 Normal Contact Force = 	-3.43027
H = 	0.393711	 Volume = 	0.243	 Pressure = 	-2.84953	 Normal Contact Force = 	-3.43151
H = 	0.393691	 Volume = 	0.243	 Pressure = 	-2.84998	 Normal Contact Force = 	-3.43274
H = 	0.393672	 Volume = 	0.243	 Pressure = 	-2.85044	 Normal Contact Force = 	-3.43397
H = 	0.393652	 Volume = 	0.243	 Pressure = 	-2.85089	 Normal Contact Force = 	-3.43521
H = 	0.393633	 Volume = 	0.243	 Pressure = 	-2.85134	 Normal Contact Force = 	-3.43644
H = 	0.393613	 Volume = 	0.243	 Pressure = 	-2.8518	 Normal Contact Force = 	-3.43768
H = 	0.393594	 Volume = 	0.243	 Pressure = 	-2.85225	 Normal Contact Force = 	-3.43891
H = 	0.393574	 Volume = 	0.243	 Pressure = 	-2.8527	 Normal Contact Force = 	-3.44015
H = 	0.393555	 Volume = 	0.243	 Pressure = 	-2.85316	 Normal Contact Force = 	-3.44138
H = 	0.393535	 Volume = 	0.243	 Pressure = 	-2.85361	 Normal Contact Force = 	-3.44262
H = 	0.393516	 Volume = 	0.243	 Pressure = 	-2.85407	 Normal Contact Force = 	-3.44386
H = 	0.393496	 Volume = 	0.243	 Pressure = 	-2.85452	 Normal Contact Force = 	-3.44509
H = 	0.393477	 Volume = 	0.243	 Pressure = 	-2.85497	 Normal Contact Force = 	-3.44633
H = 	0.393457	 Volume = 	0.243	 Pressure = 	-2.85543	 Normal Contact Force = 	-3.44757
H = 	0.393438	 Volume = 	0.243	 Pressure = 	-2.85588	 Normal Contact Force = 	-3.44881
H = 	0.393418	 Volume = 	0.243	 Pressure = 	-2.85633	 Normal Contact Force = 	-3.45005
H = 	0.393398	 Volume = 	0.243	 Pressure = 	-2.85679	 Normal Contact Force = 	-3.45128
H = 	0.393379	 Volume = 	0.243	 Pressure = 	-2.85724	 Normal Contact Force = 	-3.45252
H = 	0.393359	 Volume = 	0.243	 Pressure = 	-2.8577	 Normal Contact Force = 	-3.45376
H = 	0.39334	 Volume = 	0.243	 Pressure = 	-2.85815	 Normal Contact Force = 	-3.455
H = 	0.39332	 Volume = 	0.243	 Pressure = 	-2.8586	 Normal Contact Force = 	-3.45624
H = 	0.393301	 Volume = 	0.243	 Pressure = 	-2.85906	 Normal Contact Force = 	-3.45748
H = 	0.393281	 Volume = 	0.243	 Pressure = 	-2.85951	 Normal Contact Force = 	-3.45873
H = 	0.393262	 Volume = 	0.243	 Pressure = 	-2.85997	 Normal Contact Force = 	-3.45997
H = 	0.393242	 Volume = 	0.243	 Pressure = 	-2.86042	 Normal Contact Force = 	-3.46121
H = 	0.393223	 Volume = 	0.243	 Pressure = 	-2.86087	 Normal Contact Force = 	-3.46245
H = 	0.393203	 Volume = 	0.243	 Pressure = 	-2.86133	 Normal Contact Force = 	-3.46369
