H = 	0.97802734375001021	 Volume = 	0.32343299999999348	 Pressure = 	-0.00015285120458125	 Radial Contact Force = 	-0.00001771814615116
H = 	0.97800781250001023	 Volume = 	0.32343299999999647	 Pressure = 	-0.00015312127112308	 Radial Contact Force = 	-0.00001774208309826
H = 	0.97798828125001025	 Volume = 	0.32343299999999242	 Pressure = 	-0.00015339149573128	 Radial Contact Force = 	-0.00001776597766152
H = 	0.97796875000001027	 Volume = 	0.32343299999999647	 Pressure = 	-0.00015366184223648	 Radial Contact Force = 	-0.00001778980969523
H = 	0.97794921875001029	 Volume = 	0.32343299999999564	 Pressure = 	-0.00015393233431035	 Radial Contact Force = 	-0.00001781359227190
H = 	0.97792968750001030	 Volume = 	0.32343299999999625	 Pressure = 	-0.00015420297032590	 Radial Contact Force = 	-0.00001783732441980
H = 	0.97791015625001032	 Volume = 	0.32343299999999842	 Pressure = 	-0.00015447605883112	 Radial Contact Force = 	-0.00001786228728500
H = 	0.97789062500001034	 Volume = 	0.32343299999999475	 Pressure = 	-0.00015474975882486	 Radial Contact Force = 	-0.00001788745868555
H = 	0.97787109375001036	 Volume = 	0.32343299999999603	 Pressure = 	-0.00015502359363523	 Radial Contact Force = 	-0.00001791257396635
H = 	0.97785156250001037	 Volume = 	0.32343299999999314	 Pressure = 	-0.00015529755367855	 Radial Contact Force = 	-0.00001793762223612
H = 	0.97783203125001039	 Volume = 	0.32343299999999453	 Pressure = 	-0.00015557163263238	 Radial Contact Force = 	-0.00001796262477687
H = 	0.97781250000001041	 Volume = 	0.32343299999999420	 Pressure = 	-0.00015584590143782	 Radial Contact Force = 	-0.00001798757377479
H = 	0.97779296875001043	 Volume = 	0.32343299999999192	 Pressure = 	-0.00015612023966590	 Radial Contact Force = 	-0.00001801244866783
H = 	0.97777343750001044	 Volume = 	0.32343299999999781	 Pressure = 	-0.00015639479454910	 Radial Contact Force = 	-0.00001803730846936
H = 	0.97775390625001046	 Volume = 	0.32343299999999298	 Pressure = 	-0.00015666940660832	 Radial Contact Force = 	-0.00001806206720023
H = 	0.97773437500001048	 Volume = 	0.32343299999999303	 Pressure = 	-0.00015694419516655	 Radial Contact Force = 	-0.00001808679312851
H = 	0.97771484375001050	 Volume = 	0.32343299999999409	 Pressure = 	-0.00015721912084682	 Radial Contact Force = 	-0.00001811146362115
H = 	0.97769531250001052	 Volume = 	0.32343299999998926	 Pressure = 	-0.00015749412919694	 Radial Contact Force = 	-0.00001813605642277
H = 	0.97767578125001053	 Volume = 	0.32343299999999231	 Pressure = 	-0.00015776933214762	 Radial Contact Force = 	-0.00001816061753668
H = 	0.97765625000001055	 Volume = 	0.32343299999999386	 Pressure = 	-0.00015804471721101	 Radial Contact Force = 	-0.00001818513982335
H = 	0.97763671875001057	 Volume = 	0.32343299999999042	 Pressure = 	-0.00015832010447646	 Radial Contact Force = 	-0.00001820954721006
H = 	0.97761718750001059	 Volume = 	0.32343299999999625	 Pressure = 	-0.00015859582275318	 Radial Contact Force = 	-0.00001823398613903
H = 	0.97759765625001060	 Volume = 	0.32343299999999131	 Pressure = 	-0.00015887148090720	 Radial Contact Force = 	-0.00001825828517803
H = 	0.97757812500001062	 Volume = 	0.32343299999999531	 Pressure = 	-0.00015914737881873	 Radial Contact Force = 	-0.00001828257253557
H = 	0.97755859375001064	 Volume = 	0.32343299999999842	 Pressure = 	-0.00015942350183106	 Radial Contact Force = 	-0.00001830683979710
H = 	0.97753906250001066	 Volume = 	0.32343299999999131	 Pressure = 	-0.00015970083384811	 Radial Contact Force = 	-0.00001833167171292
H = 	0.97751953125001068	 Volume = 	0.32343299999999320	 Pressure = 	-0.00015997853021500	 Radial Contact Force = 	-0.00001835658037034
H = 	0.97750000000001069	 Volume = 	0.32343299999999231	 Pressure = 	-0.00016025636332975	 Radial Contact Force = 	-0.00001838141349322
H = 	0.97748046875001071	 Volume = 	0.32343299999999670	 Pressure = 	-0.00016053433588934	 Radial Contact Force = 	-0.00001840621023070
H = 	0.97746093750001073	 Volume = 	0.32343299999999037	 Pressure = 	-0.00016081242851047	 Radial Contact Force = 	-0.00001843092169434
H = 	0.97744140625001075	 Volume = 	0.32343299999999575	 Pressure = 	-0.00016109063543039	 Radial Contact Force = 	-0.00001845559730608
H = 	0.97742187500001076	 Volume = 	0.32343299999999298	 Pressure = 	-0.00016136907609323	 Radial Contact Force = 	-0.00001848022249629
H = 	0.97740234375001078	 Volume = 	0.32343299999999359	 Pressure = 	-0.00016164760975426	 Radial Contact Force = 	-0.00001850479003771
H = 	0.97738281250001080	 Volume = 	0.32343299999999447	 Pressure = 	-0.00016192626745507	 Radial Contact Force = 	-0.00001852929312551
H = 	0.97736328125001082	 Volume = 	0.32343299999999531	 Pressure = 	-0.00016220508610754	 Radial Contact Force = 	-0.00001855375288242
H = 	0.97734375000001084	 Volume = 	0.32343299999999459	 Pressure = 	-0.00016248403229756	 Radial Contact Force = 	-0.00001857815004166
H = 	0.97732421875001085	 Volume = 	0.32343299999999481	 Pressure = 	-0.00016276312901328	 Radial Contact Force = 	-0.00001860249773630
H = 	0.97730468750001087	 Volume = 	0.32343299999999842	 Pressure = 	-0.00016304252876646	 Radial Contact Force = 	-0.00001862688350634
H = 	0.97728515625001089	 Volume = 	0.32343299999999425	 Pressure = 	-0.00016332468387123	 Radial Contact Force = 	-0.00001865271572881
H = 	0.97726562500001091	 Volume = 	0.32343299999999725	 Pressure = 	-0.00016360697762588	 Radial Contact Force = 	-0.00001867849108984
H = 	0.97724609375001092	 Volume = 	0.32343299999999597	 Pressure = 	-0.00016388941004746	 Radial Contact Force = 	-0.00001870420952205
H = 	0.97722656250001094	 Volume = 	0.32343299999999198	 Pressure = 	-0.00016417197197267	 Radial Contact Force = 	-0.00001872985977619
H = 	0.97720703125001096	 Volume = 	0.32343299999999725	 Pressure = 	-0.00016445469208641	 Radial Contact Force = 	-0.00001875547595954
H = 	0.97718750000001098	 Volume = 	0.32343299999999375	 Pressure = 	-0.00016473753447562	 Radial Contact Force = 	-0.00001878101375300
H = 	0.97716796875001100	 Volume = 	0.32343299999999087	 Pressure = 	-0.00016502048559145	 Radial Contact Force = 	-0.00001880648811386
H = 	0.97714843750001101	 Volume = 	0.32343299999999736	 Pressure = 	-0.00016530365763014	 Radial Contact Force = 	-0.00001883194803924
H = 	0.97712890625001103	 Volume = 	0.32343299999999381	 Pressure = 	-0.00016558689069044	 Radial Contact Force = 	-0.00001885730448353
H = 	0.97710937500001105	 Volume = 	0.32343299999999275	 Pressure = 	-0.00016587030418306	 Radial Contact Force = 	-0.00001888262817552
H = 	0.97708984375001107	 Volume = 	0.32343299999999126	 Pressure = 	-0.00016615385870246	 Radial Contact Force = 	-0.00001890789566442
H = 	0.97707031250001108	 Volume = 	0.32343299999999447	 Pressure = 	-0.00016643755453890	 Radial Contact Force = 	-0.00001893310703879
H = 	0.97705078125001110	 Volume = 	0.32343299999998781	 Pressure = 	-0.00016672133875405	 Radial Contact Force = 	-0.00001895824050967
H = 	0.97703125000001112	 Volume = 	0.32343299999999386	 Pressure = 	-0.00016700536503965	 Radial Contact Force = 	-0.00001898335815332
